citationId,sourceId,locator,boundedContext,sourceFact,subjectAlignment,claimAlignment
CIT_JRN_R01_B01_SPC_ANSER_ANSER_PERSONALITY_001,SRC_R01_B01_044,Behavior,The account describes sociable family-to-thousand-bird groups that fly in V-patterns during long-distance travel.,Greylag geese synchronize movement in social V-formations.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_BROAD_001,SRC_R01_B01_044,Habitat,Breeding and nonbreeding habitat includes lowland freshwater and salt-water wetland systems.,Greylag geese use wetland and coastal systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_SPECIFIC_001,SRC_R01_B01_044,Habitat,"The account specifically names marshes, fens, offshore islands, and estuaries.","Marsh, swamp/fen, island, and estuary habitats are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_CANAGICUS_PERSONALITY_001,SRC_R01_B01_006,Communication and Perception,The species account explicitly describes emperor geese as much less vocal than most other geese.,Emperor geese characteristically use relatively sparse vocal signaling.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_BROAD_001,SRC_R01_B01_006,Behavior and Food Habits,The account places wintering birds on Aleutian and Commander islands and describes intertidal foraging.,Emperor geese depend on coastal island and intertidal habitat.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_006,Food Habits,The account reports intertidal feeding and a foot-stamping foraging method on mud flats.,Mudflats and coastal islands are exact supported habitat settings.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_INDICUS_PERSONALITY_001,SRC_R01_B01_007,Behavior and Communication,Migrating groups maintain V-shaped spacing and rotate the lead position to reduce individual drag.,Bar-headed geese synchronize formation movement and rotate leadership during migration.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_BROAD_001,SRC_R01_B01_007,Behavior and Food Habits,The account places breeding on the high-elevation Tibetan-Qinghai Plateau around highland lakes and streams.,Bar-headed geese use mountain and freshwater systems for breeding.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_007,Behavior and Food Habits,"Ground nests occur at high elevation, with feeding on highland grasses around lakes and streams.","Alpine, lake, and river settings are directly supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTHROPOIDES_VIRGO_PERSONALITY_001,SRC_R01_B01_008,Communication and Perception,"The exact-species account documents an extensive repertoire of contact, guard, alarm, flight-intention, and pair calls.",Demoiselle cranes use varied vocal expression for social coordination.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTHROPOIDES_VIRGO_TERRAIN_BROAD_001,SRC_R01_B01_008,Habitat,"The account places the species in open uplands spanning grassland, semi-arid savanna, steppe, plateau, and semi-desert.","Demoiselle cranes use grassland, mountain/upland, and desert systems near water.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTHROPOIDES_VIRGO_TERRAIN_SPECIFIC_001,SRC_R01_B01_008,Habitat,"Specific supported settings are savannas, steppes, high plateaus, semi-deserts, and riparian areas.","Savanna, steppe, plateau, and river-edge terrain are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTIGONE_ANTIGONE_PERSONALITY_001,SRC_R01_B01_032,"Reproduction, lines 90-119",Pairs build large wetland nests; both parents feed and care for fledglings through an extended juvenile period.,Sarus crane pairs share sustained nest and fledgling duty.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTIGONE_ANTIGONE_TERRAIN_BROAD_001,SRC_R01_B01_032,"Habitat, lines 48-61",The exact-species account centers low natural wetlands and also identifies savanna or grassland habitat.,Sarus cranes use wetland and grassland systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTIGONE_ANTIGONE_TERRAIN_SPECIFIC_001,SRC_R01_B01_032,"Habitat, lines 48-61","The account names low wetlands, marsh, and savanna/grassland; flooded rice paddies are treated as secondary adaptation.",Marsh and savanna are supported natural terrain tokens.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTIGONE_CANADENSIS_PERSONALITY_001,SRC_R01_B01_033,Behavior,Family groups combine into survival groups that feed and roost together during migration and winter.,Sandhill cranes form cooperative survival groups for feeding and roosting.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTIGONE_CANADENSIS_TERRAIN_BROAD_001,SRC_R01_B01_033,Habitat,Most populations nest in open wet grasslands and freshwater wetlands.,Sandhill cranes use grassland and wetland systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANTIGONE_CANADENSIS_TERRAIN_SPECIFIC_001,SRC_R01_B01_033,Habitat,"The account specifically names wet meadows, freshwater marshes, and bogs.","Meadow, marsh, and bog are directly supported terrain tokens.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_APTENODYTES_FORSTERI_PERSONALITY_001,SRC_R01_B01_009,Food Habits,The exact-species account reports observations of groups coordinating dives and hunting cooperatively.,Emperor penguins coordinate group dives and cooperative hunts.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_APTENODYTES_FORSTERI_TERRAIN_BROAD_001,SRC_R01_B01_009,Habitat,"The species is exclusively Antarctic, breeding on coastal fast ice and foraging in open ocean among seasonal pack ice.","Emperor penguins use polar ice, coastal, and ocean systems.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_APTENODYTES_FORSTERI_TERRAIN_SPECIFIC_001,SRC_R01_B01_009,Habitat,"Dense stable fast ice, seasonal pack ice, ice shelves, and open sea are all named habitat components.","Pack ice, glacier/ice-shelf, and pelagic terrain are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_APTENODYTES_PATAGONICUS_PERSONALITY_001,SRC_R01_B01_010,Behavior,Colonies huddle during blizzards and form communal chick crèches for protection while both parents forage.,King penguins use collective huddles and crèches for group protection.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_APTENODYTES_PATAGONICUS_TERRAIN_BROAD_001,SRC_R01_B01_010,Habitat,"Primary habitat is sparsely vegetated sub-Antarctic islands, with extensive feeding in southern-ocean waters.","King penguins use coastal island, polar, and ocean systems.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_APTENODYTES_PATAGONICUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_010,Habitat,"The account identifies sub-Antarctic islands, tundra conditions, and pelagic feeding waters.","Island, tundra, and pelagic terrain are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDEA_ALBA_PERSONALITY_001,SRC_R01_B01_011,"Food Habits, lines 189-192",Studies in the account report greater intermediate-size prey intake while standing still than while moving.,Great egrets use stationary patience as an effective hunting strategy.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDEA_ALBA_TERRAIN_BROAD_001,SRC_R01_B01_011,"Habitat, lines 47-69","The account identifies freshwater, saltwater, coastal, and wooded wetland habitat.","Great egrets use freshwater, wetland, and coastal systems.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDEA_ALBA_TERRAIN_SPECIFIC_001,SRC_R01_B01_011,"Habitat, lines 47-69","Streams, lakes, ponds, mud flats, marshes, wooded swamps, bogs, and estuaries are named.","River, lake, pond, mudflat, marsh, swamp, bog, and estuary tokens are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDEA_HERODIAS_PERSONALITY_001,SRC_R01_B01_012,Behavior,The exact-species account characterizes great blue herons as solitary stalk-and-strike hunters.,Great blue herons practice patient stalking before striking prey.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDEA_HERODIAS_TERRAIN_BROAD_001,SRC_R01_B01_012,Habitat,"The species lives near freshwater, wetland, and saltwater coastal sources.","Great blue herons use freshwater, wetland, and coastal systems.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDEA_HERODIAS_TERRAIN_SPECIFIC_001,SRC_R01_B01_012,Habitat,"Rivers, lake edges, marshes, saltwater seacoasts, and swamps are explicitly named.","River, lake, marsh, and swamp terrain tokens are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDENNA_GRISEA_PERSONALITY_001,SRC_R01_B01_057,Basic Description,"The exact-species account describes a roughly 40,000-mile figure-eight annual migration between hemispheres.",Sooty shearwaters execute an extensive recurring migration route.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDENNA_GRISEA_TERRAIN_BROAD_001,SRC_R01_B01_057,Species summary fields,"Cornell classifies habitat as oceans and nesting as burrow, with Southern Hemisphere breeding.",Sooty shearwaters use ocean habitat and subterranean nesting burrows.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ARDENNA_GRISEA_TERRAIN_SPECIFIC_001,SRC_R01_B01_057,Species summary and Basic Description,The account calls the species pelagic and identifies burrow nesting.,Pelagic waters and burrows are supported terrain tokens.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENA_MYSTICETUS_PERSONALITY_001,SRC_R01_B01_066,Section 5: Bowhead Whales Rely on Sound to Survive,NOAA describes a highly vocal species with a vast repertoire of songs and calls across high and low frequencies.,Bowhead whales use extensive varied vocal expression.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENA_MYSTICETUS_TERRAIN_BROAD_001,SRC_R01_B01_069,About the Species,NOAA places bowheads almost exclusively in Arctic and subarctic seasonally ice-covered waters.,Bowhead whales use polar-ice and ocean systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENA_MYSTICETUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_046,Habitat and migration paragraph,The assessment associates migration with shorefast and mobile pack ice and summer shelf waters.,Pack ice and pelagic/shelf-water terrain are supported.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENICEPS_REX_PERSONALITY_001,SRC_R01_B01_013,Food Habits,The account identifies stand-and-wait as one of two exact-species hunting mechanisms.,Shoebills use stationary ambush patience when hunting.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENICEPS_REX_TERRAIN_BROAD_001,SRC_R01_B01_013,Habitat,"Shoebills inhabit freshwater swamps, dense marshes, and floodplains with papyrus and reedbeds.",Shoebills use wetland systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENICEPS_REX_TERRAIN_SPECIFIC_001,SRC_R01_B01_013,Habitat,"The account specifically names freshwater swamp, marsh, and floodplain habitat.","Swamp, marsh, and floodplain tokens are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENOPTERA_ACUTOROSTRATA_PERSONALITY_001,SRC_R01_B01_073,Behavior and Diet,"NOAA documents clicks, grunts, pulse trains, ratchets, thumps, and regionally varying boing vocalizations.",Common minke whales produce a varied vocal repertoire.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENOPTERA_ACUTOROSTRATA_TERRAIN_BROAD_001,SRC_R01_B01_073,Where They Live,NOAA reports a preference for temperate to boreal waters with broader tropical and subtropical occurrence.,Common minke whales use ocean systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENOPTERA_ACUTOROSTRATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_073,Where They Live,The exact-species account describes free-ranging temperate and boreal marine waters rather than an inland habitat.,Pelagic is the controlled specific normalization.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENOPTERA_MUSCULUS_PERSONALITY_001,SRC_R01_B01_068,Behavior and Diet,"NOAA reports powerful pulses, groans, and moans used for communication and perhaps long-range navigation.",Blue whales use pronounced vocal expression across ocean-scale distances.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENOPTERA_MUSCULUS_TERRAIN_BROAD_001,SRC_R01_B01_068,Where They Live,Blue whales occur in every ocean except the Arctic and migrate between polar feeding and lower-latitude breeding waters.,Blue whales use ocean systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALAENOPTERA_MUSCULUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_068,Where They Live,The account describes open-ocean ranges from subtropical waters to polar feeding grounds.,Pelagic is the controlled specific normalization.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALEARICA_REGULORUM_PERSONALITY_001,SRC_R01_B01_014,Behavior,The exact-species account reports mutual preening that may sustain pair bonds outside breeding season.,Grey crowned crane pairs engage in mutual grooming intimacy.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALEARICA_REGULORUM_TERRAIN_BROAD_001,SRC_R01_B01_014,Habitat,The account centers grasslands close to water and wet nesting cover.,"Grey crowned cranes use grassland, wetland, and freshwater systems.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BALEARICA_REGULORUM_TERRAIN_SPECIFIC_001,SRC_R01_B01_014,Habitat,"Savanna, grassland, seasonal shallow lakes, and marsh are explicitly named.","Savanna, lake, and marsh tokens are supported.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BERARDIUS_BAIRDII_PERSONALITY_001,SRC_R01_B01_067,Behavior and Diet,NOAA reports spy-hopping plus fluke and flipper slaps during surface intervals between deep dives.,Baird's beaked whales use conspicuous visual display behaviors at the surface.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BERARDIUS_BAIRDII_TERRAIN_BROAD_001,SRC_R01_B01_067,Where They Live,"NOAA identifies cold, deep oceanic waters as preferred habitat.",Baird's beaked whales use ocean systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BERARDIUS_BAIRDII_TERRAIN_SPECIFIC_001,SRC_R01_B01_067,Where They Live,"Preferred waters exceed 3,300 feet and occur around slopes, seamounts, and submarine canyons.",Pelagic is the controlled specific token supported by deep oceanic habitat.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BIZIURA_LOBATA_PERSONALITY_001,SRC_R01_B01_015,Behavior and Communication,"The account documents learned mimicry of waterfowl, mechanical noises, and complex human sounds.",Musk ducks outwardly mimic diverse sounds.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BIZIURA_LOBATA_TERRAIN_BROAD_001,SRC_R01_B01_015,Reproduction and Food Habits,Nests occur in seasonally flooded rushes; feeding is in shallow submerged or emergent vegetation.,Musk ducks use freshwater wetland systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BIZIURA_LOBATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_015,Reproduction,"Flooded lowlands, dense rush growth, and seasonal inundation define the nesting setting.",Marsh and floodplain tokens are supported.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BOTAURUS_STELLARIS_PERSONALITY_001,SRC_R01_B01_016,Behavior,The bittern aligns its streaks with vegetation and sways to imitate wind-blown reeds.,Eurasian bitterns use active behavioral camouflage.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BOTAURUS_STELLARIS_TERRAIN_BROAD_001,SRC_R01_B01_016,Food Habits and nesting account,The source repeatedly identifies shallow reedbed water as feeding and nesting habitat.,Eurasian bitterns use wetland systems.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_BOTAURUS_STELLARIS_TERRAIN_SPECIFIC_001,SRC_R01_B01_016,Food Habits and nesting account,Shallow reedbeds are marsh habitat in the controlled terrain vocabulary.,Marsh is the supported specific terrain token.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CEPHALORHYNCHUS_COMMERSONII_PERSONALITY_ID_001,SRC_R01_B01_017,Behavior,"Commerson's dolphins more commonly feed cooperatively: groups form a half-circle to drive fish against shore, or circle fish and take turns passing through the center to feed.",Groups coordinate fish herding and alternate feeding passes.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CEPHALORHYNCHUS_COMMERSONII_TERRAIN_BROAD_001,SRC_R01_B01_017,Habitat,"They inhabit shallow inshore coastlines, harbors, bays, and river mouths, favor neritic water near estuaries and the continental shelf.","Natural habitat includes shallow coastal marine water, estuaries, and shelf waters.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CEPHALORHYNCHUS_COMMERSONII_TERRAIN_SPECIFIC_001,SRC_R01_B01_017,Habitat,"Sightings occur near bay mouths and estuaries, over the continental shelf, and in kelp beds; open waters are also used.","Specific habitats include estuaries, kelp beds, and pelagic shelf/open waters.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CERORHINCA_MONOCERATA_PERSONALITY_ID_001,SRC_R01_B01_056,Food,"Some research suggests the auklets hunt cooperatively, forcing prey such as sandlance into tight bait balls against the sea surface.",Auklets can jointly concentrate schooling prey while foraging.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CERORHINCA_MONOCERATA_TERRAIN_BROAD_001,SRC_R01_B01_056,Habitat and Nesting,They nest on North Pacific islands and forage at sea over shelf and slope waters; pairs excavate long soil burrows.,"Natural habitat spans ocean, coastal islands, and subterranean nest burrows.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CERORHINCA_MONOCERATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_056,Habitat; Nest Placement,"Colonies occur on islands, post-breeding foraging occurs at sea over continental shelf and slope, and nests are in long soil burrows.","Specific habitats are islands, pelagic shelf water, and burrows.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHARADRIUS_HIATICULA_PERSONALITY_ID_001,SRC_R01_B01_060,At a Glance,"Birds breeding in Greenland, Arctic Canada, and western Alaska cross to the Old World in fall before migrating south.",The species performs directed seasonal migration from Arctic breeding grounds.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHARADRIUS_HIATICULA_TERRAIN_BROAD_001,SRC_R01_B01_060,At a Glance - Habitat,"The field guide classifies habitat as coasts and shorelines, tundra, and boreal habitats.",Natural broad habitat includes polar tundra and boreal forest environments.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHARADRIUS_HIATICULA_TERRAIN_SPECIFIC_001,SRC_R01_B01_060,At a Glance - Habitat,The listed habitat categories include Tundra and Boreal Habitats.,Specific natural habitat includes tundra and boreal forest.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHARADRIUS_VOCIFERUS_TERNOMINATUS_PERSONALITY_ID_001,SRC_R01_B01_018,Predation,"An adult near a threatened nest performs an injured-bird routine, hobbling and dragging its wings to draw the intruder away before flying off.",Parent species uses a feigned-injury diversion to protect the nest.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHARADRIUS_VOCIFERUS_TERNOMINATUS_TERRAIN_BROAD_001,SRC_R01_B01_018,Habitat,"Killdeer prefer open areas in savannas, shorelines, sandbars, mudflats, and pastures.",Parent-species natural habitat includes open grassland and shoreline settings.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHARADRIUS_VOCIFERUS_TERNOMINATUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_018,Habitat,"The account specifically names savannas, sandbars, and mudflats among preferred open habitats.",Specific natural habitat includes savanna and mudflat.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHAUNA_TORQUATA_PERSONALITY_ID_001,SRC_R01_B01_019,Communication and Perception,Southern screamers use loud calls as alarms and paired birds produce trumpet-like calls together.,The species communicates prominently through loud alarm and pair vocalizations.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHAUNA_TORQUATA_TERRAIN_BROAD_001,SRC_R01_B01_019,Habitat,"Southern screamers occupy tropical and subtropical wetlands near rivers, marshes, and open grassy country.","Natural habitat spans freshwater, wetland, and grassland.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CHAUNA_TORQUATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_019,Habitat,"The account identifies river margins, marshes, and savanna-like open country.","Specific habitats include rivers, marshes, and savanna.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_CICONIA_CICONIA_PERSONALITY_ID_001,SRC_R01_B01_020,Reproduction,White storks are monogamous and established pairs maintain enduring pair bonds across breeding seasons.,Pairs maintain long-term monogamous bonds.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
